"","Location","Circulation per Capita","Circulation per Borrower","Circulation per Staff FTE","Circulation per Visit","Circulation per Hour Open","Total Operating Expenditures per Circulation","% of Non-English Circulation to Total Circulation","% of Childrens Circulation to Total Circulation","Circulation of Childrens Materials per Child Borrower","Circulation of Electronic Materials","Physical Item Circulation","Circulation of Childrens Materials","Circulation of Non English Materials","Successful Retrieval of Electronic Information","Total Electronic Content Use","Total Annual Circulation","Total Content Use"
"1","PALO ALTO CITY LIBRARY",12.45676,15.13844,13753.05157,8.64193,1832.14565,0,0.0255355,0.569495,45.89434,113648,729139,479963,21521,706056,819704,842787,1548843
"2","SANTA CLARA CITY LIBRARY",9.00796,8.72366,21578.50861,24.70797,696.48433,0,0.0128923,0.5713659,60.37404,441679,736076,672929,15184,NA,441679,1177755,1177755
"3","SAN LUIS OBISPO CITY-COUNTY LIBRARY",7.74144,31.91307,25461.82192,7.91218,211.79501,0,0.0106482,0.2787068,85.75335,454761,1403952,518036,19792,48536,503297,1858713,1907249
"4","SANTA BARBARA PUBLIC LIBRARY",5.08911,10.32557,10424.8139,0,1816.08069,0,0.0153004,0.266454,16.16267,299840,330340,167914,9642,100059,399899,630180,730239
"5","SAN DIEGO COUNTY LIBRARY",5.06298,13.33074,22294.76,10.71863,299.46755,0,0.0095073,0.3023414,28.63624,3676514,1897176,1685157,52991,296504,3973018,5573690,5870194
"6","SONOMA COUNTY LIBRARY",4.90538,9.07102,12028.25239,42.30584,907.61139,0,0.0124464,0.2454759,3.89482,1002892,1372327,583059,29563,787133,1790025,2375219,3162352
"7","CAMARILLO PUBLIC LIBRARY",4.37993,3.18755,11866.14846,13.02098,812.01064,0,0.0050603,0.3446953,8.45853,124633,180683,105241,1545,220076,344709,305316,525392
"8","SAN BENITO COUNTY FREE LIBRARY",4.01465,5.12434,20533.25,962.49609,6009.73171,0,0.0595254,0.3169737,3.56142,24813,221586,78102,14667,16432,41245,246399,262831
"9","REDONDO BEACH PUBLIC LIBRARY",3.64795,3.8375,16168.66667,12.88614,324.23797,0,0.0096813,0.3430998,8.90825,76537,165993,83212,2348,13311,89848,242530,255841
"10","GOLETA VALLEY LIBRARY",3.40775,17.52764,16342.27907,65.78525,1171.19667,0,0.0052397,0.2978065,52.03232,142548,208811,104637,1841,6437,148985,351359,357796
"11","VENTURA COUNTY LIBRARY",2.39669,4.16314,8696.52406,376.01156,34.03779,0,0.0261816,0.2268221,7.95644,412368,173082,132793,15328,133485,545853,585450,718935
"12","SAN BERNARDINO COUNTY LIBRARY",2.3466,4.90309,28966.76699,4.81687,60.12125,0,0.008348,0.4486534,7.71727,937757,2045820,1338592,24907,NA,937757,2983577,2983577
"13","BEAUMONT LIBRARY DISTRICT",1.33611,3.55668,6753.25,5.60552,40.35807,17.62866,0.0156468,0.362233,10.70179,9751,71288,29355,1268,11010,20761,81039,92049
"14","ALHAMBRA CIVIC CENTER LIBRARY",1.32184,1.38176,3563.09375,6.44466,145.80435,0,0.0322841,0.5206939,6.05312,33646,80373,59369,3681,35194,68840,114019,149213
"15","TEHAMA COUNTY LIBRARY",1.20648,5.16528,6570.66667,0,32.31475,0,0,0.0759563,1.87743,12970,65878,5989,NA,NA,12970,78848,78848
"16","STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY",0.66022,3.49598,6292.2,3.9105,22.13693,0,0.0095293,0.5194558,7.49821,153072,318843,245139,4497,71668,224740,471915,543583
"17","INGLEWOOD PUBLIC LIBRARY",0.04418,0.04847,256.15789,243.35,22.53241,0,0.0242449,0.1403329,0.06093,2850,2017,683,118,2850,5700,4867,7717
"18","COLTON PUBLIC LIBRARY",0.0345,0.0336,1246.66667,2.86371,3.38768,0,0.0668449,0.5149733,0.12681,0,1870,963,125,0,0,1870,1870
"19","A. K. SMILEY PUBLIC LIBRARY",0,0,0,0,0,0,0,0,4.01145,32151,142827,67621,81,42355,74506,NA,217333
