location,In_Person_Or_Online,highest_expenses,compare_result
"LA COUNTY LIBRARY",Online,Print,"No Match"
"LONG BEACH PUBLIC LIBRARY",Online,Print,"No Match"
"GLENDALE LIBRARY, ARTS & CULTURE",Online,Print,"No Match"
"PALOS VERDES LIBRARY DISTRICT",In-Person,Electronic,"No Match"
"BURBANK PUBLIC LIBRARY",In-Person,Electronic,"No Match"
"SANTA CLARITA PUBLIC LIBRARY",In-Person,Electronic,"No Match"
"REDONDO BEACH PUBLIC LIBRARY",In-Person,Electronic,"No Match"
"ALTADENA LIBRARY DISTRICT",Online,Print,"No Match"
"EL SEGUNDO PUBLIC LIBRARY",Online,Print,"No Match"
"SANTA FE SPRINGS CITY LIBRARY",Online,Print,"No Match"
"PALMDALE CITY LIBRARY",In-Person,Electronic,"No Match"
"CROWELL PUBLIC LIBRARY",Online,Print,"No Match"
