location,Income_Source
"LOS ANGELES PUBLIC LIBRARY","Local Gov"
"LA COUNTY LIBRARY","Local Gov"
"PASADENA PUBLIC LIBRARY","Local Gov"
"LONG BEACH PUBLIC LIBRARY","Local Gov"
"GLENDALE LIBRARY, ARTS & CULTURE","Local Gov"
"BEVERLY HILLS PUBLIC LIBRARY","Local Gov"
"PALOS VERDES LIBRARY DISTRICT","Local Gov"
"SANTA MONICA PUBLIC LIBRARY","Local Gov"
"SANTA CLARITA PUBLIC LIBRARY","Local Gov"
"BURBANK PUBLIC LIBRARY","Local Gov"
"TORRANCE PUBLIC LIBRARY","Local Gov"
"WHITTIER PUBLIC LIBRARY","Local Gov"
"REDONDO BEACH PUBLIC LIBRARY","Local Gov"
"CERRITOS PUBLIC LIBRARY","Local Gov"
"INGLEWOOD PUBLIC LIBRARY","Local Gov"
"ARCADIA PUBLIC LIBRARY","Local Gov"
"ALTADENA LIBRARY DISTRICT","Local Gov"
"ALHAMBRA CIVIC CENTER LIBRARY","Local Gov"
"CITY OF COMMERCE PUBLIC LIBRARY","Local Gov"
"MONROVIA PUBLIC LIBRARY","Local Gov"
"GLENDORA LIBRARY & CULTURAL CENTER","Local Gov"
"DOWNEY CITY LIBRARY","Local Gov"
"MONTEREY PARK BRUGGEMEYER LIBRARY","Local Gov"
"EL SEGUNDO PUBLIC LIBRARY","Local Gov"
"SANTA FE SPRINGS CITY LIBRARY","Local Gov"
"CALABASAS CITY LIBRARY","Local Gov"
"SOUTH PASADENA PUBLIC LIBRARY","Local Gov"
"AZUSA CITY LIBRARY","Local Gov"
"CROWELL PUBLIC LIBRARY","Local Gov"
"PALMDALE CITY LIBRARY","Local Gov"
"COVINA PUBLIC LIBRARY","Local Gov"
"POMONA PUBLIC LIBRARY","Local Gov"
"SIERRA MADRE PUBLIC LIBRARY","Local Gov"
"IRWINDALE PUBLIC LIBRARY","Local Gov"
"SIGNAL HILL PUBLIC LIBRARY","Local Gov"
