location,children,YA,adult
"LA COUNTY LIBRARY",NA,"In person","In Person"
"PASADENA PUBLIC LIBRARY",NA,Virtual,Virtual
"LOS ANGELES PUBLIC LIBRARY",NA,"In person",Virtual
"BURBANK PUBLIC LIBRARY",NA,NA,NA
"SANTA CLARITA PUBLIC LIBRARY",NA,"In person",Virtual
"TORRANCE PUBLIC LIBRARY",NA,Virtual,Virtual
"MONTEREY PARK BRUGGEMEYER LIBRARY",NA,Virtual,Virtual
"GLENDORA LIBRARY & CULTURAL CENTER",NA,Virtual,Virtual
"SIERRA MADRE PUBLIC LIBRARY",NA,Virtual,"In Person"
"ALTADENA LIBRARY DISTRICT",NA,Virtual,"In Person"
"CALABASAS CITY LIBRARY",NA,Virtual,Virtual
"ALHAMBRA CIVIC CENTER LIBRARY",NA,Virtual,"In Person"
"GLENDALE LIBRARY, ARTS & CULTURE",NA,Virtual,Virtual
"AZUSA CITY LIBRARY",NA,Virtual,Virtual
"LONG BEACH PUBLIC LIBRARY",NA,Virtual,"In Person"
"WHITTIER PUBLIC LIBRARY",NA,Virtual,Virtual
"PALMDALE CITY LIBRARY",NA,Virtual,Virtual
"SOUTH PASADENA PUBLIC LIBRARY",NA,Virtual,Virtual
"DOWNEY CITY LIBRARY",NA,Virtual,Virtual
"CITY OF COMMERCE PUBLIC LIBRARY",NA,"In person",Virtual
"CROWELL PUBLIC LIBRARY",NA,NA,NA
"SANTA MONICA PUBLIC LIBRARY",NA,Virtual,Virtual
"SANTA FE SPRINGS CITY LIBRARY",Virtual,Virtual,NA
"COVINA PUBLIC LIBRARY",NA,Virtual,Virtual
"MONROVIA PUBLIC LIBRARY",NA,Virtual,Virtual
"PALOS VERDES LIBRARY DISTRICT",NA,Virtual,Virtual
"BEVERLY HILLS PUBLIC LIBRARY",NA,Virtual,Virtual
"ARCADIA PUBLIC LIBRARY",NA,Virtual,Virtual
"EL SEGUNDO PUBLIC LIBRARY",NA,Virtual,Virtual
"CERRITOS PUBLIC LIBRARY",NA,Virtual,Virtual
"IRWINDALE PUBLIC LIBRARY","In Person",Virtual,"In Person"
"SIGNAL HILL PUBLIC LIBRARY",NA,Virtual,Virtual
"REDONDO BEACH PUBLIC LIBRARY",NA,Virtual,Virtual
