"","x1","location","total_expenditures","expenditures_per_capita","total_operating_expenditures_per_visit","total_operating_expenditures_per_open_hour","total_operating_expenditures_per_circulation","percent_operating_expenditures_on_staff","percent_of_operating_expenditures_on_collection","percent_of_collection_expenditures_on_print_materials","percent_of_collection_expenditures_on_electronic_materials","percent_of_collection_expenditures_on_serial_subscriptions","percent_of_collection_expenditures_on_other_materials","county"
"1",1,"LOS ANGELES PUBLIC LIBRARY",184631730,47.05982,0,8338.52994,0,0.7044279,0.073701,0.1752413,0.6787429,0.0255382,0.1204777,"Los Angeles"
"2",2,"LA COUNTY LIBRARY",159105841,45.96597,148.58924,5625.07218,0,0.7107915,0.0709537,0.4692611,0.4138387,0.024164,0.0927362,"Los Angeles"
"3",22,"LONG BEACH PUBLIC LIBRARY",14524735,30.93958,109.58842,3536.50293,0,0.6433073,0.0648941,0.6712398,0.2695156,0.0135171,0.0457275,"Los Angeles"
"4",23,"PASADENA PUBLIC LIBRARY",13355056.82,91.90988,199.60926,4372.97211,0,0.7085103,0.0604225,0.4961115,0.3786477,0.0785175,0.0467233,"Los Angeles"
"5",27,"BEVERLY HILLS PUBLIC LIBRARY",11735630,346.43789,1636.35681,20661.92679,0,0.474128,0.0487962,0.3019739,0.5806466,0.0580494,0.05933,"Los Angeles"
"6",30,"GLENDALE LIBRARY, ARTS & CULTURE",11055510,53.47321,614.68859,8269.84674,0,0.6581786,0.0869557,0.4882278,0.454082,0,0.0576902,"Los Angeles"
"7",39,"SANTA MONICA PUBLIC LIBRARY",8651379,92.7823,879.28491,75664.7807,0,0.8016744,0.0863172,0.3960559,0.4884871,0.0470496,0.0684074,"Los Angeles"
"8",42,"PALOS VERDES LIBRARY DISTRICT",8291640,119.44941,153.76001,1275.55043,0,0.7518843,0.0583826,0.3146225,0.5772616,0.0649038,0.0432121,"Los Angeles"
"9",48,"BURBANK PUBLIC LIBRARY",6922439,66.34858,117.25643,4221.66218,0,0.7714772,0.0559113,0.4032441,0.445496,0.0378571,0.1134028,"Los Angeles"
"10",50,"WHITTIER PUBLIC LIBRARY",6369499,40.54612,819.44033,6759.98646,0,0.7382124,0.0767518,0.247218,0.6597164,0.0363554,0.0567102,"Los Angeles"
"11",51,"SANTA CLARITA PUBLIC LIBRARY",6271582,28.29521,137.54171,3548.06225,0,0.56198,0.1611904,0.4027832,0.5484741,0,0.0487427,"Los Angeles"
"12",57,"TORRANCE PUBLIC LIBRARY",5812670,40.13388,63.08246,1834.80745,0,0.6568033,0.0663769,0.3358319,0.5506069,0.1117107,0.0018506,"Los Angeles"
"13",73,"REDONDO BEACH PUBLIC LIBRARY",4183150,62.91965,222.25971,5592.44652,0,0.4355847,0.0810511,0.3534651,0.5269799,0.0182717,0.1012833,"Los Angeles"
"14",74,"ALTADENA LIBRARY DISTRICT",4113402,85.339,439.70865,1017.83056,0,0.6071773,0.0929958,0.5180965,0.3141771,0.0565094,0.1112171,"Los Angeles"
"15",75,"CERRITOS PUBLIC LIBRARY",4050380,80.92991,0,0,0,0.8776905,0.0632904,0.4183733,0.4763019,0.0117028,0.093622,"Los Angeles"
"16",80,"ARCADIA PUBLIC LIBRARY",3628384,62.11054,112.5839,19049.43617,0,0.7320765,0.082268,0.5230665,0.2835018,0.0453524,0.1480793,"Los Angeles"
"17",91,"ALHAMBRA CIVIC CENTER LIBRARY",3233229,37.48324,182.7509,4134.56394,0,0.7297061,0.0687183,0.5904349,0.3805439,0.0290213,0,"Los Angeles"
"18",95,"INGLEWOOD PUBLIC LIBRARY",3015604,27.37501,150780.2,13961.12963,0,0.7953909,0.1196775,0.3422001,0.6292602,0.0285398,0,"Los Angeles"
"19",99,"CITY OF COMMERCE PUBLIC LIBRARY",2706745,207.57919,6322.26905,34042.98718,0,0.9651647,0.0247613,0.3520456,0.5861749,0.0617795,0,"Los Angeles"
"20",108,"MONROVIA PUBLIC LIBRARY",2350959,61.0972,1317.80213,956.06303,0,0.6221699,0.0533744,0.6928141,0.2496075,0.0145361,0.0430424,"Los Angeles"
"21",112,"EL SEGUNDO PUBLIC LIBRARY",2298076,137.93974,249.46548,478.56643,0,0.8220607,0.063192,0.6435408,0.2949869,0.0511569,0.0103154,"Los Angeles"
"22",113,"MONTEREY PARK BRUGGEMEYER LIBRARY",2293721,37.98809,498.96041,13653.10119,0,0.8362469,0.0262146,0.7434848,0.1722796,0.0327795,0.051456,"Los Angeles"
"23",119,"CALABASAS CITY LIBRARY",2113660,54.6273,144.53076,2915.97149,0,0.7155397,0.1416405,0.2002793,0.7370989,0.0368701,0.0257517,"Los Angeles"
"24",122,"GLENDORA LIBRARY & CULTURAL CENTER",2000541,38.69428,96.74977,2915.64766,0,0.6120319,0.0787273,0.3331975,0.546304,0.0729208,0.0475778,"Los Angeles"
"25",125,"SANTA FE SPRINGS CITY LIBRARY",1713554,94.52005,876.49821,571.18467,0,0.8013164,0.0794851,0.5260055,0.4709035,0.003091,0,"Los Angeles"
"26",127,"SOUTH PASADENA PUBLIC LIBRARY",1608369,61.70824,208.79607,7764.34804,0,0.8423115,0.0834218,0.4381915,0.4079646,0.0508196,0.1030242,"Los Angeles"
"27",134,"PALMDALE CITY LIBRARY",1404110,8.99644,180.80221,2095.68657,0,0,0.1521533,0.3626662,0.4912189,0.0288991,0.1172159,"Los Angeles"
"28",135,"AZUSA CITY LIBRARY",1396763,28.16793,0,4060.35756,0,0.8951504,0.0526217,0.6190476,0.3673469,0.0136054,0,"Los Angeles"
"29",136,"CROWELL PUBLIC LIBRARY",1332531,102.81082,164.51,7614.46286,0,0.7675626,0.0755855,0.5086477,0.3460187,0.1056195,0.0397141,"Los Angeles"
"30",141,"DOWNEY CITY LIBRARY",1094005,9.81831,94.07559,2856.40992,0,0.8562072,0.1437928,0.4207933,0.5792067,0,0,"Los Angeles"
