"","x1","location","total_operating_income","operating_income_per_capita","operating_income_from_local_government_per_capita","operating_income_from_state_government_per_capita","operating_income_from_federal_government_per_capita","percent_of_operating_income_from_local_government","percent_of_operating_income_from_state_government","percent_of_operating_income_from_federal_government","percent_of_operating_income_from_other_sources","county"
"1",1,"LOS ANGELES PUBLIC LIBRARY",188766555,48.11373,48.05438,0.0568,0.00255,0.9987665,0.0011806,5.3e-05,0,"Los Angeles"
"2",2,"LA COUNTY LIBRARY",173069043,51.84219,45.57734,0.08702,0.01034,0.8791554,0.0016786,0.0001995,0.1189665,"Los Angeles"
"3",22,"PASADENA PUBLIC LIBRARY",15719667,108.18319,105.55361,0,1.93041,0.9756933,0,0.0178439,0.0064629,"Los Angeles"
"4",24,"LONG BEACH PUBLIC LIBRARY",14520374,31.04435,28.59538,0.72357,0,0.9211139,0.0233077,0,0.0555783,"Los Angeles"
"5",30,"GLENDALE LIBRARY, ARTS & CULTURE",11680890,57.3059,54.58055,0.47958,0.10057,0.9524422,0.0083687,0.001755,0.0374341,"Los Angeles"
"6",31,"BEVERLY HILLS PUBLIC LIBRARY",11570679,346.43789,345.24791,0.77595,0,0.9965651,0.0022398,0,0.0011951,"Los Angeles"
"7",37,"PALOS VERDES LIBRARY DISTRICT",9705657,145.05107,140.06033,0,0.01535,0.9655933,0,0.0001058,0.0343009,"Los Angeles"
"8",40,"SANTA MONICA PUBLIC LIBRARY",8735003,93.95709,92.80519,0.89682,0,0.9877401,0.009545,0,0.0027148,"Los Angeles"
"9",42,"SANTA CLARITA PUBLIC LIBRARY",8654714,39.0605,37.91084,0.01805,0.0559,0.970567,0.0004622,0.001431,0.0275398,"Los Angeles"
"10",45,"BURBANK PUBLIC LIBRARY",8012957,77.07064,76.31909,0.32714,0,0.9902485,0.0042446,0,0.0055068,"Los Angeles"
"11",60,"TORRANCE PUBLIC LIBRARY",5812670,40.13388,39.82915,0.06905,0.03304,0.9924071,0.0017204,0.0008232,0.0050493,"Los Angeles"
"12",73,"WHITTIER PUBLIC LIBRARY",4320810,50.12773,40.54612,0,0.40605,0.808856,0,0.0081003,0.1830437,"Los Angeles"
"13",75,"REDONDO BEACH PUBLIC LIBRARY",4145259,62.34972,62.27204,0,0,0.998754,0,0,0.001246,"Los Angeles"
"14",77,"CERRITOS PUBLIC LIBRARY",4063385,81.18976,80.93001,0,0.25975,0.9968007,0,0.0031993,0,"Los Angeles"
"15",78,"INGLEWOOD PUBLIC LIBRARY",4054792,36.80854,36.58341,0,0.22513,0.9938838,0,0.0061162,0,"Los Angeles"
"16",79,"ARCADIA PUBLIC LIBRARY",4024914,69.80427,68.2206,0.41566,0.13798,0.9773128,0.0059547,0.0019767,0.0147558,"Los Angeles"
"17",83,"ALTADENA LIBRARY DISTRICT",3876051,89.97333,87.00961,1.25903,0,0.96706,0.0139934,0,0.0189466,"Los Angeles"
"18",93,"ALHAMBRA CIVIC CENTER LIBRARY",3260145,37.79528,37.67935,0,0,0.9969327,0,0,0.0030673,"Los Angeles"
"19",99,"CITY OF COMMERCE PUBLIC LIBRARY",2767001,216.30715,212.05464,4.2525,0,0.9803404,0.0196596,0,0,"Los Angeles"
"20",100,"MONROVIA PUBLIC LIBRARY",2558200,66.48302,60.71714,4.74017,0.12994,0.913273,0.071299,0.0019545,0.0134735,"Los Angeles"
"21",101,"GLENDORA LIBRARY & CULTURAL CENTER",2532698,49.14043,45.01292,0.59445,0,0.9160058,0.012097,0,0.0718972,"Los Angeles"
"22",105,"DOWNEY CITY LIBRARY",2445068,21.94362,18.73355,0.16992,2.88703,0.8537129,0.0077433,0.1315657,0.0069781,"Los Angeles"
"23",113,"MONTEREY PARK BRUGGEMEYER LIBRARY",2287082,37.87814,34.28471,0.63143,2.96199,0.905132,0.0166701,0.0781979,0,"Los Angeles"
"24",121,"EL SEGUNDO PUBLIC LIBRARY",1819423,109.20906,107.04766,1.63031,0,0.9802086,0.0149284,0,0.0048631,"Los Angeles"
"25",123,"SANTA FE SPRINGS CITY LIBRARY",1713554,94.52005,90.96597,1.77412,1.31149,0.9623986,0.0187698,0.0138753,0.0049564,"Los Angeles"
"26",125,"CALABASAS CITY LIBRARY",1595681,65.55528,65.0219,0,0.20541,0.9918637,0,0.0031335,0.0050029,"Los Angeles"
"27",126,"SOUTH PASADENA PUBLIC LIBRARY",1557628,60.68365,59.86758,0.07792,0,0.986552,0.001284,0,0.012164,"Los Angeles"
"28",128,"AZUSA CITY LIBRARY",1514062,30.53345,27.91887,0.85708,0.95083,0.9143701,0.0280702,0.0311407,0.026419,"Los Angeles"
"29",132,"CROWELL PUBLIC LIBRARY",1437059,110.87563,102.35807,0,0,0.9231792,0,0,0.0768208,"Los Angeles"
"30",135,"PALMDALE CITY LIBRARY",1404110,8.99644,8.56425,0,0.2177,0.9519603,0,0.024199,0.0238407,"Los Angeles"
"31",145,"COVINA PUBLIC LIBRARY",1022425,20.93717,18.23437,1.46753,0.57916,0.8709089,0.0700922,0.0276617,0.0313373,"Los Angeles"
"32",156,"POMONA PUBLIC LIBRARY",793606,5.24459,5.24459,0,0,1,0,0,0,"Los Angeles"
"33",169,"SIERRA MADRE PUBLIC LIBRARY",421599,39.56818,33.06598,0.46851,1.09076,0.8356709,0.0118406,0.0275665,0.124922,"Los Angeles"
"34",171,"IRWINDALE PUBLIC LIBRARY",416020,288.70229,282.3109,6.23109,0,0.9778616,0.0215831,0,0.0005553,"Los Angeles"
"35",174,"SIGNAL HILL PUBLIC LIBRARY",374602,32.24602,32.07386,0,0.17216,0.994661,0,0.005339,0,"Los Angeles"
