id,location,county,books_children_held,books_young_adult_held,total_print_materials_held,num_of_physical_audio_materials,num_of_physical_video_materials,other_physical_items,total_physical_items,num_of_current_serial_subscriptions,num_of_electronic_books,num_of_downloadable_audio_materials,num_of_downloadable_video_materials,electronic_collections_locally_funded,electronic_collections_state_funded_no_more_than_6,num_of_electronic_collections
1,ALHAMBRA CIVIC CENTER LIBRARY,Los Angeles,45760,5273,99647,3994,3328,64,107033,92,6346,120722,6004,35,5,40
2,ALTADENA LIBRARY DISTRICT,Los Angeles,21905,4255,56705,5392,5385,250,67732,187,499666,418418,20670,10,6,16
3,ARCADIA PUBLIC LIBRARY,Los Angeles,78187,7947,167964,6196,6983,326,181469,176,18306,5699,321,19,6,25
4,AZUSA CITY LIBRARY,Los Angeles,41960,2701,89214,2301,2496,49,94060,6,519644,425641,49591,5,3,8
5,BEVERLY HILLS PUBLIC LIBRARY,Los Angeles,53078,2086,163251,20075,10947,0,194273,153,665507,417057,76844,54,3,57
6,BURBANK PUBLIC LIBRARY,Los Angeles,122172,17960,312012,23868,44268,250,380398,206,498893,418868,335983,18,6,24
7,CALABASAS CITY LIBRARY,Los Angeles,28911,5970,72515,4355,4318,6,81194,48,12098,10701,30001,29,4,33
8,CERRITOS PUBLIC LIBRARY,Los Angeles,96667,7067,299403,6061,11753,1,317218,5,10335,3606,1080,24,6,30
9,CITY OF COMMERCE PUBLIC LIBRARY,Los Angeles,43001,5955,86189,7590,18358,237,112374,136,1433,276,0,0,4,4
10,COVINA PUBLIC LIBRARY,Los Angeles,35498,4379,93013,5089,4032,269,102403,75,23976,9133,268,1,1,2
11,CROWELL PUBLIC LIBRARY,Los Angeles,31838,5573,78853,4355,3035,11,86254,100,14929,3524,239,14,1,15
12,DOWNEY CITY LIBRARY,Los Angeles,30479,3969,70324,2155,2997,0,75476,0,3837,566,0,0,1,1
13,EL SEGUNDO PUBLIC LIBRARY,Los Angeles,69860,7712,111046,5219,3941,0,120206,79,26414,7756,30030,9,6,15
14,"GLENDALE LIBRARY, ARTS & CULTURE",Los Angeles,128983,10485,410980,53765,25728,1882,492355,0,857068,666938,21684,61,3,64
15,GLENDORA LIBRARY & CULTURAL CENTER,Los Angeles,22932,4017,76758,8187,7012,0,91957,177,182198,9615,212,26,6,32
16,INGLEWOOD PUBLIC LIBRARY,Los Angeles,42191,6251,137393,0,4762,436,142591,12,1085,500,700,19,3,22
17,IRWINDALE PUBLIC LIBRARY,Los Angeles,9258,1974,17302,368,4159,121,21950,63,22795,8960,268,5,4,9
18,LA COUNTY LIBRARY,Los Angeles,2073575,246076,3466972,190232,525571,105570,4288345,3571,1616843,279042,45550,44,4,48
19,LONG BEACH PUBLIC LIBRARY,Los Angeles,249711,43195,644281,26796,29443,489,701009,0,25102,8343,26825,23,6,29
20,LOS ANGELES PUBLIC LIBRARY,Los Angeles,1505632,454454,5779834,212908,341256,0,6333998,5416,651350,238790,10377,216,2,218
21,MONROVIA PUBLIC LIBRARY,Los Angeles,26909,2448,62205,1681,1433,2526,67845,20,28057,10781,269,7,3,10
22,MONTEREY PARK BRUGGEMEYER LIBRARY,Los Angeles,43987,3370,88472,3769,5904,107,98252,47,43987,5272,263,1,6,7
23,PALMDALE CITY LIBRARY,Los Angeles,34527,6881,71679,4407,6253,39,82378,37,790238,650684,50836,8,4,12
24,PALOS VERDES LIBRARY DISTRICT,Los Angeles,62264,5279,186959,8652,19036,297,214944,395,483578,141632,49316,61,6,67
25,PASADENA PUBLIC LIBRARY,Los Angeles,198155,16178,512063,19235,22534,61996,615828,544,644276,431630,49386,33,5,38
26,POMONA PUBLIC LIBRARY,Los Angeles,43605,6267,215591,4668,2087,0,222346,39,353,190,0,0,0,0
27,REDONDO BEACH PUBLIC LIBRARY,Los Angeles,60256,8563,154558,23891,21044,2,199495,59,1084848,1617442,48465,8,4,12
28,SANTA CLARITA PUBLIC LIBRARY,Los Angeles,115651,14627,231612,8368,16621,50,256651,0,37433,10654,1491,35,4,39
29,SANTA FE SPRINGS CITY LIBRARY,Los Angeles,15901,1568,37501,1062,6941,0,45504,NA,684780,209938,49584,5,0,5
30,SANTA MONICA PUBLIC LIBRARY,Los Angeles,119920,17943,373757,21449,37969,0,433175,73,511204,424166,19738,16,3,19
31,SIERRA MADRE PUBLIC LIBRARY,Los Angeles,16994,1617,41212,2396,3306,198,47112,72,26956,11584,297,7,4,11
32,SIGNAL HILL PUBLIC LIBRARY,Los Angeles,6696,1494,20402,666,2328,0,23396,52,8333,4391,30,2,0,2
33,SOUTH PASADENA PUBLIC LIBRARY,Los Angeles,39770,5250,95820,8914,9555,11,114300,96,23325,11819,27403,15,6,21
34,TORRANCE PUBLIC LIBRARY,Los Angeles,129500,11000,415000,37533,39212,0,491745,306,88459,25461,579,14,4,18
35,WHITTIER PUBLIC LIBRARY,Los Angeles,90529,10660,239738,13665,9570,91,263064,325,6081,2594,27014,24,4,28
