"","location","population_of_the_legal_service_area","library_visits","visits_per_capita","visits_per_borrower","visits_per_hour_open","visits_per_week","visits_per_librarian_fte","visits_per_mls_librarian_fte","visits_per_staff_fte","county","hours_open_all"
"1","LOS ANGELES PUBLIC LIBRARY",3923341,NA,0,0,0,NA,0,0,0,"Los Angeles",782
"2","LA COUNTY LIBRARY",3338382,"1032726",0.30935,0.4426,37.85652,19860.11538,3867.88764,3882.42857,932.90515,"Los Angeles",3612
"3","LONG BEACH PUBLIC LIBRARY",467730,"132052",0.28233,0.40074,32.27077,2539.46154,3334.64646,3334.64646,994.96685,"Los Angeles",188
"4","SANTA CLARITA PUBLIC LIBRARY",221572,"45582",0.20572,0.47062,25.79626,876.57692,2071.90909,2071.90909,785.89655,"Los Angeles",344
"5","GLENDALE LIBRARY, ARTS & CULTURE",203834,"17732",0.08699,0.0623,13.45372,341,638.07125,715.28842,245.76577,"Los Angeles",560
"6","PALMDALE CITY LIBRARY",156074,"7766",0.04976,0.19137,11.59104,149.34615,2588.66667,2588.66667,633.95918,"Los Angeles",1634
"7","POMONA PUBLIC LIBRARY",151319,"2061",0.01362,0.04773,1.87024,39.63462,916,916,211.38462,"Los Angeles",456
"8","PASADENA PUBLIC LIBRARY",145306,"66906",0.46045,0.20168,21.90766,1286.65385,2524.75472,2524.75472,656.26287,"Los Angeles",0
"9","TORRANCE PUBLIC LIBRARY",144832,"92144",0.63621,0.98855,29.08586,1772,5119.11111,5119.11111,1474.304,"Los Angeles",78
"10","DOWNEY CITY LIBRARY",111425,"11629",0.10437,0.1299,30.36292,223.63462,3876.33333,5814.5,612.05263,"Los Angeles",94
"11","INGLEWOOD PUBLIC LIBRARY",110159,"20",0.00018,2e-04,0.09259,0.38462,2.22222,2.22222,1.05263,"Los Angeles",175
"12","BURBANK PUBLIC LIBRARY",103969,"58830",0.56584,1.07501,36.00367,1131.34615,2394.38339,2394.38339,915.35709,"Los Angeles",383
"13","SANTA MONICA PUBLIC LIBRARY",92968,"9810",0.10552,0.12044,86.05263,188.65385,467.14286,467.14286,205.23013,"Los Angeles",4802
"14","ALHAMBRA CIVIC CENTER LIBRARY",86258,"17692",0.20511,0.2144,22.62404,340.23077,1474.33333,1474.33333,552.875,"Los Angeles",1318
"15","WHITTIER PUBLIC LIBRARY",86196,"4265",0.04948,0.0532,8.24952,82.01923,370.86957,370.86957,151.56361,"Los Angeles",684
"16","PALOS VERDES LIBRARY DISTRICT",66912,"51981",0.77686,1.14624,8.29572,999.63462,3465.4,3465.4,1237.64286,"Los Angeles",216
"17","REDONDO BEACH PUBLIC LIBRARY",66484,"18821",0.28309,0.2978,25.16176,361.94231,4182.44444,4182.44444,1254.73333,"Los Angeles",403
"18","MONTEREY PARK BRUGGEMEYER LIBRARY",60380,"4597",0.07613,0.11502,27.3631,88.40385,656.71429,766.16667,255.38889,"Los Angeles",27280
"19","ARCADIA PUBLIC LIBRARY",57660,"31810",0.55168,1.26814,169.20213,611.73077,3029.52381,3029.52381,1172.50276,"Los Angeles",4092
"20","GLENDORA LIBRARY & CULTURAL CENTER",51540,"20613",0.39994,0.78947,30.13596,396.40385,2899.15612,2899.15612,1017.42349,"Los Angeles",22142
"21","CERRITOS PUBLIC LIBRARY",50048,"0",0,0,0,0,0,0,0,"Los Angeles",2459
"22","AZUSA CITY LIBRARY",49587,NA,0,0,0,NA,0,0,0,"Los Angeles",168
"23","COVINA PUBLIC LIBRARY",48833,"1273",0.02607,0.03849,13.54255,24.48077,636.5,1273,112.95475,"Los Angeles",670
"24","ALTADENA LIBRARY DISTRICT",43080,"8361",0.19408,0.67553,2.31478,160.78846,929,929,321.57692,"Los Angeles",6266
"25","MONROVIA PUBLIC LIBRARY",38479,"1784",0.04636,0.02359,0.7255,34.30769,209.88235,260.43796,109.78462,"Los Angeles",3054
"26","BEVERLY HILLS PUBLIC LIBRARY",33399,"7071",0.21171,0.14036,12.62679,135.98077,587.29236,587.29236,150.15927,"Los Angeles",1102
"27","SOUTH PASADENA PUBLIC LIBRARY",25668,"7586",0.29554,0.44461,37.18627,145.88462,987.76042,1517.2,424.27293,"Los Angeles",748
"28","CALABASAS CITY LIBRARY",24341,"9200",0.37796,0.14546,20.17544,176.92308,1840,1840,613.33333,"Los Angeles",1767
"29","SANTA FE SPRINGS CITY LIBRARY",18129,"1955",0.10784,0.04348,0.65167,37.59615,488.75,488.75,170,"Los Angeles",3000
"30","EL SEGUNDO PUBLIC LIBRARY",16660,"9212",0.55294,0.62374,1.91837,177.15385,1842.4,1842.4,523.40909,"Los Angeles",114
"31","CROWELL PUBLIC LIBRARY",12961,"8100",0.62495,0.28467,46.28571,155.76923,1620,1620,433.38684,"Los Angeles",427
"32","CITY OF COMMERCE PUBLIC LIBRARY",12792,"420",0.03283,0.01257,5.38462,8.07692,46.66667,70,10.12048,"Los Angeles",0
"33","SIGNAL HILL PUBLIC LIBRARY",11617,"0",0,0,0,0,0,0,0,"Los Angeles",204
"34","SIERRA MADRE PUBLIC LIBRARY",10655,"10198",0.95711,1.16058,23.8829,196.11538,2955.94203,2955.94203,1240.6326,"Los Angeles",3168
"35","IRWINDALE PUBLIC LIBRARY",1441,"18512",12.84663,2.57469,45.93548,356,18512,18512,2644.57143,"Los Angeles",517
