"","id","location","childrens_program_attendance","childrens_program_attendance_live_in_person","childrens_program_attendance_live_virtual","young_adult_program_attendance_calculated","young_adult_program_attendance_live_in_person","young_adult_program_attendance_live_virtual","adult_program_attendance_calculated","adult_program_attendance_live_in_person","adult_program_attendance_live_virtual","attendance_at_offsite_programs","total_program_attendance","total_average_attendance_per_library_program","library_program_attendance_per_1_000_served","program_attendance_per_capita","county"
"1",3,"LA COUNTY LIBRARY",159978,NA,NA,4153,539,3614,13771,2868,10903,2066,178676,84.52034,76.57642,0.05352,"Los Angeles"
"2",9,"PASADENA PUBLIC LIBRARY",34486,NA,NA,2283,0,2283,12395,0,12395,3893,49306,45.31801,148.62396,0.33933,"Los Angeles"
"3",17,"LOS ANGELES PUBLIC LIBRARY",23884,NA,NA,17620,5558,12062,39072,15488,23584,NA,80576,12.00119,29.87934,0.02054,"Los Angeles"
"4",26,"BURBANK PUBLIC LIBRARY",16217,NA,NA,372,NA,NA,1405,NA,NA,375,17994,50.9745,328.80767,0.17307,"Los Angeles"
"5",37,"SANTA CLARITA PUBLIC LIBRARY",11486,NA,NA,1464,91,1373,1254,258,996,6075,16026,24.13554,165.46384,0.07233,"Los Angeles"
"6",38,"TORRANCE PUBLIC LIBRARY",8287,NA,NA,491,0,491,831,0,831,81,9609,80.075,103.08869,0.06635,"Los Angeles"
"7",49,"MONTEREY PARK BRUGGEMEYER LIBRARY",5849,NA,NA,111,30,81,4195,145,4050,2231,10155,16.01735,254.08462,0.16818,"Los Angeles"
"8",59,"GLENDORA LIBRARY & CULTURAL CENTER",4495,NA,NA,611,0,611,467,21,446,2083,5870,15.86486,224.81808,0.11389,"Los Angeles"
"9",69,"SIERRA MADRE PUBLIC LIBRARY",3615,NA,NA,109,20,89,311,51,260,170,4205,10.40842,478.54785,0.39465,"Los Angeles"
"10",74,"ALTADENA LIBRARY DISTRICT",3086,NA,NA,387,23,364,1583,150,1085,134,5192,8.61028,419.48776,0.12052,"Los Angeles"
"11",81,"CALABASAS CITY LIBRARY",2616,NA,NA,96,34,62,636,0,636,120,3618,16.90654,57.2052,0.14864,"Los Angeles"
"12",84,"ALHAMBRA CIVIC CENTER LIBRARY",2393,NA,NA,2936,0,2936,1385,967,418,551,6714,52.86614,81.36505,0.07784,"Los Angeles"
"13",101,"GLENDALE LIBRARY, ARTS & CULTURE",1629,NA,NA,33,0,33,1559,0,1559,5144,3336,14.95964,11.7199,0.01637,"Los Angeles"
"14",102,"AZUSA CITY LIBRARY",1621,NA,NA,0,0,0,851,0,851,0,2951,16.48603,54.93401,0.05951,"Los Angeles"
"15",103,"LONG BEACH PUBLIC LIBRARY",1587,NA,NA,108,0,108,2055,7,2048,3007,6757,57.75214,20.50533,0.01445,"Los Angeles"
"16",113,"WHITTIER PUBLIC LIBRARY",1316,NA,NA,0,0,0,15850,0,15850,396,22197,117.44444,276.88105,0.25752,"Los Angeles"
"17",115,"PALMDALE CITY LIBRARY",1220,NA,NA,0,0,0,567,0,567,0,1787,40.61364,44.0343,0.01145,"Los Angeles"
"18",116,"SOUTH PASADENA PUBLIC LIBRARY",1157,NA,NA,422,0,422,404,0,404,0,1983,33.61017,116.22319,0.07726,"Los Angeles"
