"","x1","location","circulation_per_capita","circulation_per_borrower","circulation_per_staff_fte","circulation_per_visit","circulation_per_hour_open","total_operating_expenditures_per_circulation","percent_of_non_english_circulation_to_total_circulation","percent_of_childrens_circulation_to_total_circulation","circulation_of_childrens_materials_per_child_borrower","circulation_of_electronic_materials","physical_item_circulation","circulation_of_childrens_materials","circulation_of_non_english_materials","successful_retrieval_of_electronic_information","total_electronic_content_use","total_annual_circulation","total_content_use","county"
"1",9,"REDONDO BEACH PUBLIC LIBRARY",3.64795,3.8375,16168.66667,12.88614,324.23797,0,0.0096813,0.3430998,8.90825,76537,165993,83212,2348,13311,89848,242530,255841,"Los Angeles"
"2",14,"ALHAMBRA CIVIC CENTER LIBRARY",1.32184,1.38176,3563.09375,6.44466,145.80435,0,0.0322841,0.5206939,6.05312,33646,80373,59369,3681,35194,68840,114019,149213,"Los Angeles"
"3",17,"INGLEWOOD PUBLIC LIBRARY",0.04418,0.04847,256.15789,243.35,22.53241,0,0.0242449,0.1403329,0.06093,2850,2017,683,118,2850,5700,4867,7717,"Los Angeles"
"4",23,"ALTADENA LIBRARY DISTRICT",0,0,0,0,0,0,0,0,9.17526,60826,62351,29003,782,11880,72706,NA,135057,"Los Angeles"
"5",26,"ARCADIA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,42.11036,59145,135327,93106,5046,19484,78629,NA,213956,"Los Angeles"
"6",27,"AZUSA CITY LIBRARY",0,0,0,NA,0,0,0,0,0.60166,4701,5112,4868,339,NA,4701,NA,9813,"Los Angeles"
"7",32,"BEVERLY HILLS PUBLIC LIBRARY",0,0,0,0,0,0,0,0,3.39186,46113,42854,21077,219,NA,46113,NA,88967,"Los Angeles"
"8",36,"BURBANK PUBLIC LIBRARY",0,0,0,0,0,0,0,0,7.6262,86906,283563,142282,1921,101503,188409,NA,471972,"Los Angeles"
"9",39,"CALABASAS CITY LIBRARY",0,0,0,0,0,0,0,0,1.18345,71383,38573,25050,121,34371,105754,NA,144327,"Los Angeles"
"10",43,"CERRITOS PUBLIC LIBRARY",0,0,0,0,0,0,0,0,12.91535,21490,52961,32650,14524,204566,226056,NA,279017,"Los Angeles"
"11",45,"CITY OF COMMERCE PUBLIC LIBRARY",0,0,0,0,0,0,0,0,1.32779,20479,12981,6311,2151,69,20548,NA,33529,"Los Angeles"
"12",51,"COVINA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,1.12783,5880,10663,6670,180,NA,5880,NA,16543,"Los Angeles"
"13",52,"CROWELL PUBLIC LIBRARY",0,0,0,0,0,0,0,0,4.65334,12778,46543,28511,3387,39124,51902,NA,98445,"Los Angeles"
"14",55,"DOWNEY CITY LIBRARY",0,0,0,0,0,0,0,0,0.91061,28892,22831,16870,1127,NA,28892,NA,51723,"Los Angeles"
"15",58,"EL SEGUNDO PUBLIC LIBRARY",0,0,0,0,0,0,0,0,19.01803,15039,70594,48534,126,106022,121061,NA,191655,"Los Angeles"
"16",63,"GLENDALE LIBRARY, ARTS & CULTURE",0,0,0,0,0,0,0,0,2.72424,167068,253715,126353,11107,529751,696819,NA,950534,"Los Angeles"
"17",64,"GLENDORA LIBRARY & CULTURAL CENTER",0,0,0,0,0,0,0,0,9.35477,40718,65839,35492,75,71857,112575,NA,178414,"Los Angeles"
"18",73,"IRWINDALE PUBLIC LIBRARY",0,0,0,0,0,0,0,0,1.99643,1556,6808,3354,137,182,1738,NA,8546,"Los Angeles"
"19",76,"LA COUNTY LIBRARY",0,0,0,0,0,0,0,0,3.54087,4893887,3381876,1630668,126806,2067019,6960906,NA,10342782,"Los Angeles"
"20",84,"LONG BEACH PUBLIC LIBRARY",0,0,0,0,0,0,0,0,3.75743,360316,756037,205783,10031,954511,1314827,NA,2070864,"Los Angeles"
"21",86,"LOS ANGELES PUBLIC LIBRARY",0,0,0,NA,0,0,0,0,1.08863,12223192,2980466,1082395,155675,NA,12223192,NA,15203658,"Los Angeles"
"22",98,"MONROVIA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,1.72639,17764,49411,36306,1918,6843,24607,NA,74018,"Los Angeles"
"23",100,"MONTEREY PARK BRUGGEMEYER LIBRARY",0,0,0,0,0,0,0,0,9.89551,9709,32426,26233,1721,6219,15928,NA,48354,"Los Angeles"
"24",119,"PALMDALE CITY LIBRARY",0,0,0,0,0,0,0,0,4.60862,7005,45123,21278,2114,9154,16159,NA,61282,"Los Angeles"
"25",121,"PALOS VERDES LIBRARY DISTRICT",0,0,0,0,0,0,0,0,25.7175,128033,292813,165955,8703,134748,262781,NA,555594,"Los Angeles"
"26",122,"PASADENA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,3.33944,122880,464985,238743,12017,1951,124831,NA,589816,"Los Angeles"
"27",128,"POMONA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,0.62757,NA,3021,2750,214,NA,NA,NA,3021,"Los Angeles"
"28",152,"SANTA CLARITA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,10.34388,196893,377217,253632,4831,83226,280119,NA,657336,"Los Angeles"
"29",154,"SANTA FE SPRINGS CITY LIBRARY",0,0,0,0,0,0,0,0,1.81824,10735,59867,24068,1362,934361,945096,NA,1004963,"Los Angeles"
"30",156,"SANTA MONICA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,29.72116,220803,397056,147625,17793,NA,220803,NA,617859,"Los Angeles"
"31",159,"SIERRA MADRE PUBLIC LIBRARY",0,0,0,0,0,0,0,0,32.65692,10128,74547,53590,494,2391,12519,NA,87066,"Los Angeles"
"32",160,"SIGNAL HILL PUBLIC LIBRARY",0,0,0,0,0,0,0,0,3.16399,3259,6665,3743,132,NA,3259,NA,9924,"Los Angeles"
"33",164,"SOUTH PASADENA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,44.56502,52026,149943,130219,1852,7184,59210,NA,209153,"Los Angeles"
"34",171,"TORRANCE PUBLIC LIBRARY",0,0,0,0,0,0,NA,NA,0,62257,336001,NA,NA,12460728,12522985,NA,12858986,"Los Angeles"
"35",179,"WHITTIER PUBLIC LIBRARY",0,0,0,0,0,0,0,0,2.62595,61198,55363,31577,478,635762,696960,NA,752323,"Los Angeles"
