"","Location","Total Expenditures","Expenditures per Capita","Total Operating Expenditures per Visit","Total Operating Expenditures per Open Hour","Total Operating Expenditures per Circulation","% Operating Expenditures on Staff","% of Operating Expenditures on Collection","% of Collection Expenditures on Print Materials","% of Collection Expenditures on Electronic Materials","% of Collection Expenditures on Serial Subscriptions","% of Collection Expenditures on Other Materials"
"1","LOS ANGELES PUBLIC LIBRARY",184631730,47.05982,0,8338.52994,0,0.7044279,0.073701,0.1752413,0.6787429,0.0255382,0.1204777
"2","LA COUNTY LIBRARY",159105841,45.96597,148.58924,5625.07218,0,0.7107915,0.0709537,0.4692611,0.4138387,0.024164,0.0927362
"3","SAN FRANCISCO PUBLIC LIBRARY",146160177,155.92458,1976.86861,59761.52606,0,0.7007348,0.1385628,0.2000593,0.7170335,0.0305337,0.0523735
"4","ORANGE COUNTY PUBLIC LIBRARIES",60061019,33.17571,50.66252,1130.4744,0,0.5467059,0.1044543,0.5386065,0.2978445,0.0356012,0.1279479
"5","SAN DIEGO PUBLIC LIBRARY",57542322,39.21945,132.14349,2902.24334,0,0.6983601,0.0568735,0.6033251,0.2131344,0.0997339,0.0838066
"6","SAN DIEGO COUNTY LIBRARY",55929602,49.58137,104.9668,2932.66371,0,0.4848701,0.1195411,0.2815663,0.625937,0.0043138,0.0881829
"7","SANTA CLARA COUNTY LIBRARY",54212440,123.04716,153.89107,9244.01028,0,0.6445559,0.1669319,0.3527543,0.5428721,0.0283276,0.076046
"8","SACRAMENTO PUBLIC LIBRARY",46212463,30.52385,122.13726,1338.71002,0,0.582757,0.1518588,0.3516019,0.5644291,0.0174311,0.0665379
"9","SAN JOSE PUBLIC LIBRARY",44554271,41.22503,85.28184,6235.72106,0,0.8673293,0.1148604,0.3132977,0.4413503,0.0030752,0.2422768
"10","OAKLAND PUBLIC LIBRARY",39369773,85.18964,1102.78908,7006.04708,0,0.7651721,0.0570546,0.2766948,0.5982126,0.0448753,0.0802172
"11","RIVERSIDE COUNTY LIBRARY SYSTEM",38168583,22.37956,89.12413,694.72179,0,0.013007,0.0445067,0.6435702,0.3493948,0.007035,0
"12","ALAMEDA COUNTY LIBRARY",36629558,61.41777,275.40218,20959.6655,0,0.6143241,0.1222294,0.498057,0.4253476,0.0159156,0.0606798
"13","CONTRA COSTA COUNTY LIBRARY",32697031,31.32728,13.59426,4141.48588,0,0.6911825,0.1615232,0.3611384,0.6310363,0.0078253,0
