"","Location","Total Operating Income","Operating Income per Capita","Operating Income from Local Government per Capita","Operating Income from State Government per Capita","Operating Income from Federal Government per Capita","% of Operating Income from Local Government","% of Operating Income from State Government","% of Operating Income from Federal Government","% of Operating Income from Other Sources"
"1","LOS ANGELES PUBLIC LIBRARY",188766555,48.11373,48.05438,0.0568,0.00255,0.9987665,0.0011806,5.3e-05,0
"2","LA COUNTY LIBRARY",173069043,51.84219,45.57734,0.08702,0.01034,0.8791554,0.0016786,0.0001995,0.1189665
"3","SAN FRANCISCO PUBLIC LIBRARY",146606933,167.54887,165.09039,0.06158,0,0.9853268,0.0003675,0,0.0143056
"4","ORANGE COUNTY PUBLIC LIBRARIES",65624008,40.64345,39.55345,0.1721,0.10698,0.9731814,0.0042343,0.0026322,0.0199521
"5","SANTA CLARA COUNTY LIBRARY",64293810,146.61913,144.03528,0.29454,0.0932,0.9823771,0.0020089,0.0006356,0.0149784
"6","SAN DIEGO PUBLIC LIBRARY",58192375,41.24094,37.94383,0.20766,0.04281,0.9200525,0.0050354,0.0010379,0.0738741
"7","SACRAMENTO PUBLIC LIBRARY",52112658,35.24195,33.22358,0.28562,0.03671,0.9427282,0.0081045,0.0010418,0.0481255
"8","SAN DIEGO COUNTY LIBRARY",51393041,46.68394,43.99409,0.21592,2.04913,0.9423816,0.0046252,0.0438938,0.0090994
"9","SAN JOSE PUBLIC LIBRARY",46265991,44.92795,44.36767,0.49188,0,0.9875295,0.0109482,0,0.0015223
"10","OAKLAND PUBLIC LIBRARY",43609763,94.92848,94.42387,0.12756,0,0.9946843,0.0013437,0,0.0039719
"11","FRESNO COUNTY PUBLIC LIBRARY",39762314,39.66201,38.16324,0.22802,0.39639,0.9622114,0.0057491,0.0099941,0.0220454
"12","CONTRA COSTA COUNTY LIBRARY",39458910,37.80589,33.58314,0.10968,8e-05,0.8883045,0.0029011,2.1e-06,0.1087924
"13","SONOMA COUNTY LIBRARY",37536089,77.52075,76.19755,0.40543,0.0441,0.9829311,0.0052299,0.0005689,0.0112701
"14","SAN MATEO COUNTY LIBRARIES",36475242,130.08938,123.44334,0.30856,0.52009,0.9489117,0.0023719,0.0039979,0.0447185
"15","ALAMEDA COUNTY LIBRARY",36275765,62.05388,55.68475,0.27812,0.01921,0.8973614,0.0044819,0.0003095,0.0978472
"16","RIVERSIDE COUNTY LIBRARY SYSTEM",31304288,22.89694,14.00683,8.80149,0.01971,0.6117337,0.3843957,0.0008608,0.0030098
"17","SOLANO COUNTY LIBRARY",25487796,61.9514,60.58204,0.26234,0.57514,0.9778962,0.0042345,0.0092837,0.0085856
"18","SAN BERNARDINO COUNTY LIBRARY",24808120,19.51171,18.22247,0.16569,0.81572,0.9339251,0.0084917,0.0418065,0.0157767
"19","BERKELEY PUBLIC LIBRARY",20929636,179.25194,176.39702,0.48448,0,0.9840732,0.0027028,0,0.0132241
"20","MARIN COUNTY FREE LIBRARY",20095599,143.08213,123.03889,0.89713,0,0.8599179,0.00627,0,0.133812
"21","SANTA CRUZ PUBLIC LIBRARIES",15759479,75.13494,72.89979,0.11232,0,0.9702515,0.0014949,0,0.0282536
"22","PASADENA PUBLIC LIBRARY",15719667,108.18319,105.55361,0,1.93041,0.9756933,0,0.0178439,0.0064629
"23","STANISLAUS COUNTY FREE LIBRARY",15507208,27.89227,25.9616,0.49574,1.10087,0.9307813,0.0177733,0.0394687,0.0119767
"24","LONG BEACH PUBLIC LIBRARY",14520374,31.04435,28.59538,0.72357,0,0.9211139,0.0233077,0,0.0555783
"25","STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY",14300164,20.0063,19.88635,0.04822,0.02798,0.9940045,0.0024105,0.0013986,0.0021864
"26","CARLSBAD CITY LIBRARY",12702285,109.97554,109.51802,0.45752,0,0.9958398,0.0041602,0,0
"27","ANAHEIM PUBLIC LIBRARY",12279003,34.73866,33.14638,0.01217,0.99245,0.9541643,0.0003503,0.0285691,0.0169164
"28","NAPA COUNTY LIBRARY",12271077,93.26865,83.16707,1.27754,0.06941,0.8916937,0.0136974,0.0007442,0.0938647
"29","SAN LUIS OBISPO CITY-COUNTY LIBRARY",11739592,48.8948,45.89617,1.04846,0.04998,0.9386718,0.0214432,0.0010222,0.0388628
"30","GLENDALE LIBRARY, ARTS & CULTURE",11680890,57.3059,54.58055,0.47958,0.10057,0.9524422,0.0083687,0.001755,0.0374341
"31","BEVERLY HILLS PUBLIC LIBRARY",11570679,346.43789,345.24791,0.77595,0,0.9965651,0.0022398,0,0.0011951
"32","MONTEREY COUNTY FREE LIBRARIES",11427033,49.86247,43.2051,0.83143,2.81684,0.8664853,0.0166744,0.0564923,0.060348
"33","SANTA CLARA CITY LIBRARY",11157684,85.33863,84.27737,0.68881,0,0.9875642,0.0080715,0,0.0043643
"34","SUNNYVALE PUBLIC LIBRARY",9994684,64.97354,64.63963,0.05625,0,0.9948609,0.0008658,0,0.0042734
"35","REDWOOD CITY PUBLIC LIBRARY",9746393,114.41846,103.55764,2.87504,0,0.9050781,0.0251274,0,0.0697944
