"","Location","# of Children's Programs (calculated)","7.14a # of Children's Programs - Live, In-person","7.14b # of Children's Programs - Live, Virtual","7.27 # of Young Adult Programs (calculated)","7.27a # of Young Adult Programs - Live, In-person","7.27b # of Young Adult Programs - Live, Virtual","7.29 # of Adult Programs (calculated)","7.29a # of Adult Programs - Live, In-person","7.29b # of Adult Programs - Live, Virtual","7.33 Of the above programs, how many were offsite?","Total # of Programs","7.35 # recordings of program content","7.36 # views of recorded program content","7.37 # on-demand views of recorded live programs"
"1","SAN BERNARDINO COUNTY LIBRARY",4028,NA,NA,178,167,11,4,4,0,8,4214,NA,NA,NA
"2","SAN JOSE PUBLIC LIBRARY",2651,NA,NA,621,NA,NA,2561,NA,NA,1821,6188,NA,NA,NA
"3","SAN DIEGO PUBLIC LIBRARY",2450,NA,NA,NA,NA,NA,1085,NA,NA,NA,3535,NA,NA,NA
"4","LOS ANGELES PUBLIC LIBRARY",1755,NA,NA,1598,438,1160,3361,1028,2333,NA,6714,1332,190981,NA
"5","KERN COUNTY LIBRARY",1642,NA,NA,143,45,98,366,53,313,15,2610,3481,27913,24769
"6","LA COUNTY LIBRARY",1478,NA,NA,226,89,137,398,256,142,158,2114,241,61490,5596
"7","RIVERSIDE COUNTY LIBRARY SYSTEM",1208,NA,NA,190,NA,NA,313,NA,NA,98,1711,1434,90593,NA
"8","HEMET PUBLIC LIBRARY",897,NA,NA,0,0,0,0,0,0,0,897,897,1335,0
"9","REDWOOD CITY PUBLIC LIBRARY",824,NA,NA,42,0,42,124,46,78,55,1190,229,8896,84
"10","RIVERSIDE PUBLIC LIBRARY",803,NA,NA,11,0,11,18,0,18,0,834,6,205,0
"11","VENTURA COUNTY LIBRARY",777,NA,NA,105,24,81,5,0,5,46,887,0,0,0
"12","IMPERIAL COUNTY LIBRARY",768,NA,NA,0,0,0,12,0,12,0,780,20,727,0
"13","SAN FRANCISCO PUBLIC LIBRARY",648,NA,NA,132,0,132,716,0,716,0,1511,423,95623,95623
"14","SACRAMENTO PUBLIC LIBRARY",634,NA,NA,265,9,256,372,11,361,0,1283,481,18441,29617
"15","SONOMA COUNTY LIBRARY",625,NA,NA,555,NA,NA,710,NA,NA,142,1890,546,39459,2828
"16","FRESNO COUNTY PUBLIC LIBRARY",597,NA,NA,169,18,151,114,68,46,19,880,176,4995,404
"17","PASADENA PUBLIC LIBRARY",568,NA,NA,94,0,94,425,0,425,95,1088,64,1558,343
"18","NEVADA COUNTY LIBRARY",535,NA,NA,11,NA,NA,318,NA,NA,NA,900,NA,NA,NA
"19","SAN MATEO COUNTY LIBRARIES",484,NA,NA,99,NA,99,585,3,582,0,1168,389,NA,NA
"20","SANTA CLARA COUNTY LIBRARY",467,NA,NA,29,0,29,460,0,460,0,971,258,29500,NA
