California Public Libraries' Local Income Per Capita (LIPC),,,,
LIPC levels defined in California's 2021-22 State Budget,,, ,
"SB 129, Chapter 69, Statute 2021, Section 215, Item 6120-161-0001",,,,
Library data source: FY2020-21 Public Libraries Survey ,,,,
,,,,
Level 1:  $0.00 - $15.00 LIPC. The local match may be eliminated (31 library jurisdictions),,,,
Level 2: $15.01 - $40.00 LIPC.  The local match may be reduced by half (71 library jurisdictions),,,,
Level 3: $40.00 and higher LIPC.  No reduction in local match allowed (81 library jurisdictions),,,,
,,,,
Location,"Population of Legal Service Area 2021
","Local Government Income 
FY 20-21
","Local Income per Capita (LIPC)
","LIPC Level
"
CAMARILLO PUBLIC LIBRARY,"69,708","3,896",$0.06,1
LASSEN LIBRARY DISTRICT,"12,729","51,905",$4.08,1
POMONA PUBLIC LIBRARY,"151,319","793,606",$5.24,1
KERN COUNTY LIBRARY,"914,193","5,639,783",$6.17,1
VICTORVILLE CITY LIBRARY,"127,170","786,960",$6.19,1
PALMDALE CITY LIBRARY,"156,074","1,336,657",$8.56,1
IMPERIAL COUNTY LIBRARY,"52,937","459,447",$8.68,1
COLTON PUBLIC LIBRARY,"54,198","489,064",$9.02,1
DEL NORTE COUNTY LIBRARY DISTRICT,"26,949","258,950",$9.61,1
MADERA COUNTY LIBRARY,"158,474","1,529,807",$9.65,1
SAN BERNARDINO PUBLIC LIBRARY,"216,291","2,120,702",$9.80,1
YUBA COUNTY LIBRARY,"79,407","791,769",$9.97,1
SISKIYOU COUNTY FREE LIBRARY,"44,330","467,773",$10.55,1
TEHAMA COUNTY LIBRARY,"65,354","701,854",$10.74,1
MERCED COUNTY LIBRARY,"284,836","3,182,334",$11.17,1
IMPERIAL PUBLIC LIBRARY,"20,289","241,723",$11.91,1
SUTTER COUNTY LIBRARY,"101,289","1,228,983",$12.13,1
CALAVERAS COUNTY LIBRARY,"45,036","571,489",$12.69,1
CORONA PUBLIC LIBRARY,"169,454","2,162,335",$12.76,1
SHASTA PUBLIC LIBRARIES,"177,797","2,290,081",$12.88,1
ESCONDIDO PUBLIC LIBRARY,"151,688","1,953,940",$12.88,1
CAMARENA MEMORIAL PUBLIC LIBRARY,"40,485","524,431",$12.95,1
BRAWLEY PUBLIC LIBRARY,"27,326","370,120",$13.54,1
KINGS COUNTY LIBRARY,"152,543","2,074,461",$13.60,1
UPLAND PUBLIC LIBRARY,"78,513","1,070,913",$13.64,1
RIVERSIDE COUNTY LIBRARY SYSTEM,"1,367,182","19,149,888",$14.01,1
MARIPOSA COUNTY LIBRARY,"18,037","257,010",$14.25,1
CHULA VISTA PUBLIC LIBRARY,"274,449","3,928,664",$14.31,1
SANTA ANA PUBLIC LIBRARY,"331,369","4,847,886",$14.63,1
TUOLUMNE COUNTY LIBRARY,"53,465","786,121",$14.70,1
MORENO VALLEY PUBLIC LIBRARY,"209,426","3,105,682",$14.83,1
LAKE COUNTY LIBRARY,"63,940","960,986",$15.03,2
EL DORADO COUNTY LIBRARY,"195,362","2,951,971",$15.11,2
TULARE COUNTY FREE LIBRARY,"352,916","5,505,518",$15.60,2
LINCOLN PUBLIC LIBRARY,"49,624","774,922",$15.62,2
HEMET PUBLIC LIBRARY,"84,525","1,335,200",$15.80,2
EL CENTRO PUBLIC LIBRARY,"44,997","721,613",$16.04,2
BUTTE COUNTY LIBRARY,"202,669","3,480,108",$17.17,2
PALO VERDE VALLEY LIBRARY DISTRICT,"22,281","385,232",$17.29,2
SAN BERNARDINO COUNTY LIBRARY,"1,271,448","23,168,926",$18.22,2
COVINA PUBLIC LIBRARY,"48,833","890,439",$18.23,2
SIMI VALLEY PUBLIC LIBRARY,"124,468","2,294,696",$18.44,2
DOWNEY CITY LIBRARY,"111,425","2,087,386",$18.73,2
MURRIETA PUBLIC LIBRARY,"115,172","2,289,612",$19.88,2
STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY,"714,783","14,214,428",$19.89,2
OXNARD PUBLIC LIBRARY,"204,675","4,107,796",$20.07,2
LODI PUBLIC LIBRARY,"68,751","1,403,424",$20.41,2
SAN BENITO COUNTY FREE LIBRARY,"61,375","1,271,393",$20.72,2
WILLOWS PUBLIC LIBRARY,"13,693","286,027",$20.89,2
GOLETA VALLEY LIBRARY,"103,106","2,155,796",$20.91,2
RIVERSIDE PUBLIC LIBRARY,"324,302","7,010,753",$21.62,2
FOLSOM PUBLIC LIBRARY,"82,303","1,788,750",$21.73,2
